ANO;MÊS;DOMESTICOS;INTERNACIONAIS
2011;JANEIRO;6816;925
2011;FEVEREIRO;6705;780
2011;MARÇO;7365;858
2011;ABRIL;7148;833
2011;MAIO;7592;794
2011;JUNHO;6947;776
2011;JULHO;7379;923
2011;AGOSTO;7596;1029
2011;SETEMBRO;7667;962
2011;OUTUBRO;7714;1009
2011;NOVEMBRO;7864;1022
2011;DEZEMBRO;7730;1150
2012;JANEIRO;7361;1193
2012;FEVEREIRO;6848;1114
2012;MARÇO;7839;1055
2012;ABRIL;7207;1012
2012;MAIO;7701;870
2012;JUNHO;7133;809
2012;JULHO;7443;729
2012;AGOSTO;7533;660
2012;SETEMBRO;6599;620
2012;OUTUBRO;6951;660
2012;NOVEMBRO;7213;611
2012;DEZEMBRO;6929;608
2013;JANEIRO;7057;618
2013;FEVEREIRO;6069;592
2013;MARÇO;7342;676
2013;ABRIL;7597;590
