NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
1;3;7778020;R;;CALDAS JUNIOR;6;;;x;;M;100;L;-30,02838822;-51,23288749
2;2;7778038;R;;CAPITAO MONTANHA;17;;;;;M;100;R;-30,02833193;-51,2324585
3;2;7778038;R;;CAPITAO MONTANHA;37;;;;;M;100;R;-30,02854819;-51,23235754
4;3;7778020;R;;CALDAS JUNIOR;50;;;x;;M;100;L;-30,02884606;-51,23268156
5;3;7777162;R;;SIQUEIRA CAMPOS;853;;;;;M;100;R;-30,02931477;-51,23317908
6;3;7778012;R;;GEN JOAO MANOEL;157;;x;;;M;100;R;-30,03011521;-51,23379248
7;2;7777071;TRAV;;ARAUJO RIBEIRO;10;entre Siqueira e Maua;;x;;U;0;;;
8;3;7777162;R;;SIQUEIRA CAMPOS;727;;;x;;M;100;R;-30,02976284;-51,23450111
9;2;7777071;TRAV;;ARAUJO RIBEIRO;306;Lado oposto 305;;x;;U;0;;;
10;2;7777162;R;;SIQUEIRA CAMPOS;637;;x;;;M;100;R;-30,03011687;-51,23555155
11;3;7777063;R;;GEN BENTO MARTINS;45;;;;;M;100;R;-30,03033984;-51,23585379
12;2;7777055;AV;;PADRE TOME;15;Tribunal de Contas;;;;M;100;R;-30,03034302;-51,23643758
13;3;7777162;R;;SIQUEIRA CAMPOS;437;;;;;M;100;R;-30,03060514;-51,2369421
14;3;7777014;R;;GEN PORTINHO;61;Praca, esq. Sete de setembro;;;;M;100;R;-30,03132738;-51,23797303
15;3;7777154;R;;SETE DE SETEMBRO;372;Estacion. obliquo;;;;M;100;L;-30,03137106;-51,23660609
16;2;7777154;R;;SETE DE SETEMBRO;472;Estacion. obliquo;;;;M;100;L;-30,03104183;-51,23564621
17;3;7777154;R;;SETE DE SETEMBRO;510;;;x;;M;100;L;-30,03094902;-51,2353728
18;2;7777154;R;;SETE DE SETEMBRO;604;Estacion. obliquo;;x;;M;100;L;-30,03062318;-51,23442088
19;2;7778012;R;;GEN JOAO MANOEL;237;entre Siqueira, proximo a Sete;x;;substituido - incendiado em 13 ou 14/07;U;0;;;
20;3;7777154;R;;SETE DE SETEMBRO;708;;;x;;M;100;L;-30,03029798;-51,23346906
21;2;7777154;R;;SETE DE SETEMBRO;790;;;;;M;100;L;-30,03001485;-51,23256479
22;3;7677065;R;DOS;ANDRADAS;851;;;x;;M;100;R;-30,03111528;-51,23314392
23;3;7677065;R;DOS;ANDRADAS;777;;;;;M;100;R;-30,03136809;-51,23387157
