COD_LOGRAD;CATEGORIA;PREPOSICAO;NOME;LOTE;SECAO;REFERENCIA;DATA_INSTA;OBSERVACAO;LATITUDE;LONGITUDE
7978158;R;;VINTE QUATRO DE OUTUBRO;820;Norte;;de 22/04 a 08/05/08;;-30,02421981;-51,20038003
7978158;R;;VINTE QUATRO DE OUTUBRO;847;Norte;;de 22/04 a 08/05/08;;-30,0240752;-51,20008972
7978158;R;;VINTE QUATRO DE OUTUBRO;850;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,02404259;-51,20017019
8078248;R;;MARQUES DO HERVAL;839;Norte;;de 22/04 a 08/05/08;;;
7977168;R;;CABRAL;365;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03385041;-51,2043882
7977143;R;;CASEMIRO DE ABREU;72;Norte;;de 22/04 a 08/05/08;;-30,03119795;-51,20769764
7977143;R;;CASEMIRO DE ABREU;193;Norte;;de 22/04 a 08/05/08;;-30,03153;-51,20632078
7977143;R;;CASEMIRO DE ABREU;271;Norte;;de 22/04 a 08/05/08;;-30,03167386;-51,20563595
7977143;R;;CASEMIRO DE ABREU;362;Norte;;de 22/04 a 08/05/08;;-30,0318187;-51,20456264
7977143;R;;CASEMIRO DE ABREU;375;Norte;Ponto de Taxi;de 22/04 a 08/05/08;;-30,03193204;-51,20437038
7977135;R;;CASTRO ALVES;664;Norte;;de 22/04 a 08/05/08;;-30,03102999;-51,20420784
8076044;R;;DONA EUGENIA;76;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,04071907;-51,20365633
8077125;R;;DONA LAURA;96;Norte;Ponto de Taxi;de 22/04 a 08/05/08;;-30,02966637;-51,20485334
8077125;R;;DONA LAURA;129;Norte;;de 22/04 a 08/05/08;;-30,02971534;-51,20438682
8077125;R;;DONA LAURA;162;Norte;;de 22/04 a 08/05/08;;;
8077125;R;;DONA LAURA;233;Norte;;de 22/04 a 08/05/08;;-30,02964969;-51,20298763
8077125;R;;DONA LAURA;377;Norte;Orelhao;de 22/04 a 08/05/08;;-30,02958018;-51,20149224
8078065;R;;DR FLORENCIO YGARTUA;271;Norte;Ponto de Taxi;de 22/04 a 08/05/08;;-30,0287646;-51,20308537
8078065;R;;DR FLORENCIO YGARTUA;314;Norte;;de 22/04 a 08/05/08;;-30,02961166;-51,20294845
8078065;R;;DR FLORENCIO YGARTUA;422;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03084208;-51,2028699
8078065;R;;DR FLORENCIO YGARTUA;501;Norte;;de 22/04 a 08/05/08;;-30,03134609;-51,20288299
8079188;R;;DR TIMOTEO;390;Norte;;de 22/04 a 08/05/08;;-30,01844644;-51,20017162
8079188;R;;DR TIMOTEO;449;Norte;;de 22/04 a 08/05/08;;-30,01912829;-51,2002095
8079188;R;;DR TIMOTEO;502;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,01938115;-51,20010389
8079188;R;;DR TIMOTEO;600;Norte;;de 22/04 a 08/05/08;;-30,02003354;-51,20001514
8079188;R;;DR TIMOTEO;630;Norte;;de 22/04 a 08/05/08;;-30,02057097;-51,19999521
8079188;R;;DR TIMOTEO;690;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,02136213;-51,19993232
8079188;R;;DR TIMOTEO;795;Norte;;de 22/04 a 08/05/08;;-30,02244085;-51,1999342
8079188;R;;DR TIMOTEO;830;Norte;Orelhao;de 22/04 a 08/05/08;;-30,02267644;-51,19983174
8079188;R;;DR TIMOTEO;878;Norte;;de 22/04 a 08/05/08;;-30,02336761;-51,19978024
8079188;R;;DR TIMOTEO;925;Norte;;de 22/04 a 08/05/08;;;
8076028;R;;FELIPE DE OLIVEIRA;11;Norte;;de 22/04 a 08/05/08;;-30,04234969;-51,20496521
8078073;AV;;GOETHE;18;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,02472699;-51,20063684
8078073;AV;;GOETHE;21;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,02480984;-51,20066276
8078073;AV;;GOETHE;43;Norte;Orelhao;de 22/04 a 08/05/08;;-30,02500011;-51,20046615
8078073;AV;;GOETHE;68;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,02515943;-51,20019
8078073;AV;;GOETHE;137;Norte;Orelhao;de 22/04 a 08/05/08;;-30,02582978;-51,19977371
8078073;AV;;GOETHE;195;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,02624577;-51,19958631
8078073;AV;;GOETHE;210;Norte;Orelhao;de 22/04 a 08/05/08;;-30,02633496;-51,19947561
8077083;TRAV;;HELENA SPEROTTO;45;Norte;Parada Onibus;de 22/04 a 08/05/08;;;
7775026;AV;;IPIRANGA;2752;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,04359138;-51,19971645
7775026;AV;;IPIRANGA;2772;Norte;;de 22/04 a 08/05/08;;-30,04364748;-51,19964392
7775026;AV;;IPIRANGA;2792;Norte;;de 22/04 a 08/05/08;;-30,04371171;-51,19957497
7775026;AV;;IPIRANGA;2832;Norte;;de 22/04 a 08/05/08;;-30,04383554;-51,199443
8078032;R;;MARIANTE;295;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03027249;-51,20430454
8078032;R;;MARIANTE;473;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03211547;-51,20425546
8078032;R;;MARIANTE;525;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03260588;-51,20425313
8078032;R;;MARIANTE;550;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,03273999;-51,20364246
8078032;R;;MARIANTE;587;Norte;Parada Onibus;de 22/04 a 08/05/08;;;
8078032;R;;MARIANTE;606;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03318851;-51,20387208
8078032;R;;MARIANTE;722;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03407187;-51,20412459
8078032;R;;MARIANTE;772;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03451351;-51,20412482
8078032;R;;MARIANTE;845;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,0355392;-51,20420827
8078032;R;;MARIANTE;856;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,03525547;-51,20412519
8078032;R;;MARIANTE;951;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03644686;-51,2043292
8078032;R;;MARIANTE;1055;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03755112;-51,20439987
8078032;R;;MARIANTE;1092;Norte;;de 22/04 a 08/05/08;;-30,03789963;-51,20385542
8078248;R;;MARQUES DO HERVAL;20;Norte;;de 22/04 a 08/05/08;;-30,02091065;-51,20415871
8078248;R;;MARQUES DO HERVAL;160;Norte;;de 22/04 a 08/05/08;;-30,02149319;-51,20284317
8078248;R;;MARQUES DO HERVAL;187;Norte;;de 22/04 a 08/05/08;;-30,02154721;-51,20253649
8078248;R;;MARQUES DO HERVAL;220;Norte;;de 22/04 a 08/05/08;;-30,02145076;-51,20213276
8078248;R;;MARQUES DO HERVAL;280;Norte;;de 22/04 a 08/05/08;;-30,02138529;-51,2010309
8078248;R;;MARQUES DO HERVAL;295;Norte;;de 22/04 a 08/05/08;;;
8078248;R;;MARQUES DO HERVAL;359;Norte;;de 22/04 a 08/05/08;;-30,02144739;-51,20085875
8078248;R;;MARQUES DO HERVAL;380;Norte;;de 22/04 a 08/05/08;;;
8078305;R;;MARQUES DO POMBAL;210;Norte;;de 22/04 a 08/05/08;;-30,02012282;-51,20218299
8078305;R;;MARQUES DO POMBAL;251;Norte;;de 22/04 a 08/05/08;;-30,02018093;-51,20192854
8078305;R;;MARQUES DO POMBAL;298;Norte;;de 22/04 a 08/05/08;;-30,02008155;-51,20144373
8078305;R;;MARQUES DO POMBAL;401;Norte;;de 22/04 a 08/05/08;;-30,02008339;-51,20025997
8078024;R;;MIGUEL TOSTES;130;Norte;Orelhao;de 22/04 a 08/05/08;;-30,02880776;-51,20583232
8078024;R;;MIGUEL TOSTES;176;Norte;Orelhao;de 22/04 a 08/05/08;;-30,0297516;-51,20580935
8078024;R;;MIGUEL TOSTES;371;Norte;Ponto de Taxi;de 22/04 a 08/05/08;;-30,03160463;-51,20583831
8078024;R;;MIGUEL TOSTES;464;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03224235;-51,20573692
8078024;R;;MIGUEL TOSTES;566;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03291614;-51,20571747
8078024;R;;MIGUEL TOSTES;621;Norte;;de 22/04 a 08/05/08;;-30,03360733;-51,20579195
8078024;R;;MIGUEL TOSTES;644;Norte;Ponto de Taxi;de 22/04 a 08/05/08;;-30,03366192;-51,20570873
8078024;R;;MIGUEL TOSTES;782;Norte;Orelhao;de 22/04 a 08/05/08;;-30,0351085;-51,20570124
8078024;R;;MIGUEL TOSTES;823;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03546263;-51,20578235
8078024;R;;MIGUEL TOSTES;840;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03571648;-51,20569809
8078024;R;;MIGUEL TOSTES;997;Norte;;de 22/04 a 08/05/08;;-30,03706076;-51,20577408
8078024;R;;MIGUEL TOSTES;998;Norte;;de 22/04 a 08/05/08;;-30,03737272;-51,20568952
8077091;R;;SAO MANOEL;481;Norte;Orelhao;de 22/04 a 08/05/08;;-30,03798992;-51,20504011
8077091;R;;SAO MANOEL;506;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,03840559;-51,20496743
8077091;R;;SAO MANOEL;633;Norte;;de 22/04 a 08/05/08;;-30,03883383;-51,20506099
8077091;R;;SAO MANOEL;672;Norte;Orelhao;de 22/04 a 08/05/08;;-30,0400049;-51,20500699
8077091;R;;SAO MANOEL;800;Norte;;de 22/04 a 08/05/08;;-30,04107938;-51,20503786
8077091;R;;SAO MANOEL;983;Norte;Orelhao;de 22/04 a 08/05/08;;-30,04079646;-51,2051101
8077091;R;;SAO MANOEL;984;Norte;;de 22/04 a 08/05/08;;-30,04246003;-51,20509268
8077075;R;;SILVA SO;10;Norte;;de 22/04 a 08/05/08;;-30,03784527;-51,2041624
8077075;R;;SILVA SO;49;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,03837058;-51,20395723
8077075;R;;SILVA SO;222;Norte;Orelhao;de 22/04 a 08/05/08;;-30,04012208;-51,20400702
8077075;R;;SILVA SO;261;Norte;;de 22/04 a 08/05/08;;-30,04055761;-51,2040835
8077075;R;;SILVA SO;361;Norte;Parada Onibus;de 22/04 a 08/05/08;;-30,04105274;-51,20408666
