Data, Hora, Municipio, Nro da Ocorrencia, Tipo de Via, Tipo Logradouro, Logradouro, KM, Natureza Ocorrencia, Tipo Ocorrencia, Historico, Teor Alcoolico, Falecimento Posterior, Ocorrencia Falecimento, Motorista Embriagado, Pedestre Embriagado, Veiculo Fugou, Motorista sem CNH
"01/05/2011","14:00","Seberi","364","Municipal","Rua","FLORES DA CUNHA","1359","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","","S"
"14/08/2011","13:20","Sede Nova","618","Municipal","Estrada","LINHA PELETI","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"15/04/2011","17:30","Segredo","966","Municipal","Rua","PADRE JOAO PASA","","Colisão","Homicídio De Trânsito","","","15/04/2011","","","","",""
"02/08/2011","11:45","Selbach","203","Municipal","Estrada","LINHA FLORESTA","","Capotagem","Outros Acidentes","","","","","","","",""
"04/04/2011","10:00","Selbach","113","Estadual","Rodovia","RS 223","","Tombamento","Outros Acidentes","","","17/04/2011","2855","","","",""
"11/08/2011","08:40","Sentinela do Sul","1664","Municipal","Rua","HERMES RODEL","","Colisão","Homicídio De Trânsito","","","","","","","",""
"19/12/2011","01:10","Serafina Corrêa","1489","Estadual","Rodovia","RS 129","144","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"16/06/2011","08:30","Sertão","206","Estadual","Rodovia","RS 135","40","Colisão","Homicídio De Trânsito","","","","","","","",""
"11/04/2011","11:00","Sertão Santana","600","Municipal","Estrada","DA MARAVILHA","","Capotagem","Outros Acidentes","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"05/04/2011","18:15","Severiano de Almeida","4289","Federal","Rodovia","BR 153","17","Atropelamento","Homicídio De Trânsito","","","05/04/2011","","","","",""
"13/10/2011","15:30","Severiano de Almeida","316","Federal","Rodovia","BR 153","16","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"07/04/2011","13:00","Sinimbu","144","Estadual","Rodovia","RS 153","","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"26/09/2011","23:30","Sobradinho","8059","Estadual","Rodovia","RS 481","","Colisão Lateral","Homicídio De Trânsito","","","02/10/2011","7657","NÃO INF.","N","NÃO INF.","NÃO INF."
"04/03/2011","16:50","Sobradinho","578","Estadual","Rodovia","RS 400","44","Atropelamento","Lesão Corporal Culposa","","","06/03/2011","1881","","","",""
"11/12/2011","22:10","Sobradinho","3022","Municipal","Rua","EUCLIDES BENTO PEREIRA","","Colisão","Homicídio De Trânsito","","","11/12/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"27/04/2011","12:30","Sobradinho","1055","Municipal","Rua","ELOI DE OLIVEIRA BRITO","658","Atropelamento","Homicídio De Trânsito","","","03/05/2011","12551","","","",""
"24/11/2011","17:30","Soledade","5719","Estadual","Rodovia","RS 153","106","Tombamento","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"10/09/2011","03:45","Soledade","4546","Federal","Rodovia","BR 386","244","Colisão","Homicídio De Trânsito","","","","","","","",""
"13/01/2011","19:30","Soledade","290","Federal","Rodovia","BR 386","198","Tombamento","Outros Acidentes","","","14/01/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"29/12/2011","08:15","Soledade","27 / 6368","Estadual","Rodovia","RS 153","88","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"21/04/2011","15:00","Soledade","2012","Federal","Rodovia","BR 386","236","Colisão","Homicídio De Trânsito","","","","","","","",""
"13/03/2011","19:00","Soledade","1397","Estadual","Rodovia","RS 332","78","Colisão","Homicídio De Trânsito","","","13/03/2011","","","","",""
"12/06/2011","10:20","Soledade","117730","Estadual","Rodovia","RS 153","100","Colisão Lateral","Lesão De Trânsito","","","21/06/2011","12686","","","",""
"23/06/2011","18:20","Tapejara","1215","Estadual","Rodovia","RS 463","3","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"30/01/2011","21:20","Tapera","95","Estadual","Rodovia","RS 332","147","Capotagem","Outros Crimes","","","30/01/2011","","NÃO INF.","N","N","N"
"29/04/2011","13:55","Tapes","977","Federal","Rodovia","BR 116","350,5","Colisão","Homicídio De Trânsito","","","29/04/2011","","","","",""
"04/03/2011","16:50","Tapes","523","Federal","Rodovia","BR 116","","Colisão","Homicídio De Trânsito","","","","","","","",""
"26/02/2011","20:00","Tapes","475","Federal","Rodovia","BR 116","359,8","Colisão","Homicídio De Trânsito","","","","","","","",""
"25/02/2011","20:00","Tapes","473","Federal","Rodovia","BR 116","372,9","Colisão","Homicídio De Trânsito","","","","","","","",""
"22/02/2011","06:50","Tapes","429","Federal","Rodovia","BR 116","372,4","Colisão","Homicídio De Trânsito","","","27/02/2011","3737","","","",""
"19/02/2011","06:30","Tapes","416","Municipal","Rua","MELVIN JONES","","Tombamento","Encontro De Cadáver","","","","","NÃO INF.","N","N","NÃO INF."
"03/12/2011","00:35","Tapes","2573 / 488574","Estadual","Rodovia","RS 717","5","Tombamento","Lesão De Trânsito","","","03/12/2011","1636","NÃO INF.","NÃO INF.","N","NÃO INF."
"01/01/2011","06:15","Tapes","2","Municipal","Rua","SYDIA ALBUQUERQUE JARDIM","1000","Colisão","Homicídio De Trânsito","","","01/01/2011","","NÃO INF.","N","S","NÃO INF."
"04/09/2011","17:00","Tapes","1845","Municipal","Estrada","DO CAPAO DA MOCA","10","Tombamento","Homicídio De Trânsito","","","","","","","",""
"09/08/2011","03:00","Tapes","1651","Federal","Rodovia","BR 116","371,6","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"17/07/2011","18:05","Tapes","1503","Federal","Rodovia","BR 116","363","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"18/02/2011","21:30","Taquara","924","Estadual","Rodovia","RS 020","49","Colisão Lateral","Homicídio De Trânsito","","","19/02/2011","","","","",""
"13/02/2011","23:30","Taquara","792","Estadual","Rodovia","RS 115","3","Colisão","Homicídio De Trânsito","","","","","","","",""
"12/10/2011","04:00","Taquara","5575","Estadual","Rodovia","RS 115","3","Colisão Lateral","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"30/01/2011","22:00","Taquara","527","Estadual","Rodovia","RS 239","61","Colisão","Homicídio De Trânsito","","","","","","","",""
"21/09/2011","14:00","Taquara","5175","Estadual","Rodovia","RS 115","2","Atropelamento","Homicídio De Trânsito","","","21/09/2011","","","","",""
"17/09/2011","03:00","Taquara","5101","Estadual","Rodovia","RS 115","3","Choque Com Objeto Fixo","Homicídio De Trânsito","","","17/09/2011","","","","","S"
"23/07/2011","16:35","Taquara","3978","Municipal","Rua","EMILIO BADERMANN","1140","Colisão","Lesão De Trânsito","","","24/07/2011","16416","","","",""
"16/07/2011","19:15","Taquara","3866","Estadual","Rodovia","RS 020","41","Colisão","Homicídio De Trânsito","","","","","","","",""
"08/07/2011","20:30","Taquara","3700","Estadual","Rodovia","RS 020","","Colisão","Falecimento","","","09/07/2011","3700","","","",""
"08/07/2011","16:45","Taquara","3691","Estadual","Rodovia","RS 239","59","Colisão","Homicídio De Trânsito","","","08/07/2011","","","","",""
"20/06/2011","17:55","Taquara","3368","Estadual","Rodovia","RS 020","47","Colisão","Lesão Corporal Seguida De Morte","","","26/06/2011","","","","",""
"05/05/2011","07:00","Taquara","2474","Estadual","Rodovia","RS 239","46","Colisão","Homicídio De Trânsito","","","","","","","",""
"24/04/2011","18:30","Taquara","2247","Estadual","Rodovia","RS 242","10","Capotagem","Homicídio De Trânsito","","","24/04/2011","","","","",""
"08/04/2011","22:10","Taquara","1937","Estadual","Rodovia","RS 115","2","Choque Com Objeto Fixo","Homicídio De Trânsito","","","08/04/2011","","","","",""
"21/03/2011","20:30","Taquara","1574","Estadual","Rodovia","RS 239","47","Colisão","Homicídio De Trânsito","","","","","","","",""
"09/01/2011","18:50","Taquara","143","Estadual","Rodovia","RS 020","52","Colisão","Lesão Corporal Culposa","","","14/01/2011","981","","","",""
